Chaincode,BatchTimeout,MaxMessageCount,AbsoluteMaxBytes,PreferredMaxBytes,TPS,
sample,2,10,1,2, 151.335433,
sample,2,10,1,4, 151.104494,
sample,2,10,1,8, 231.484212,
sample,2,10,1,16, 380.633615,
sample,2,10,1,32, 546.837128,
sample,2,10,2,2, 151.971691,
sample,2,10,2,4, 150.804604,
sample,2,10,2,8, 182.480606,
sample,2,10,2,16, 287.904417,
sample,2,10,2,32, 413.293896,
sample,2,20,1,2, 110.609329,
sample,2,20,1,4, 111.147950,
sample,2,20,1,8, 182.842243,
sample,2,20,1,16, 291.042048,
sample,2,20,1,32, 171.719658,
sample,2,20,2,2, 92.284743,
sample,2,20,2,4, 105.439319,
sample,2,20,2,8, 178.740793,
sample,2,20,2,16, 295.002415,
sample,2,20,2,32, 403.769466,
sample,2,40,1,2, 112.746732,
sample,2,40,1,4, 112.046362,
sample,2,40,1,8, 184.018192,
sample,2,40,1,16, 292.284073,
sample,2,40,1,32, 414.804234,
sample,2,40,2,2, 108.528278,
sample,2,40,2,4, 79.876243,
sample,2,40,2,8, 184.247155,
sample,2,40,2,16, 288.075061,
sample,2,40,2,32, 420.858792,
sample,2,80,1,2, 114.293316,
sample,2,80,1,4, 113.721910,
sample,2,80,1,8, 185.767671,
sample,2,80,1,16, 302.572853,
sample,2,80,1,32,302.572853,
sample,2,80,2,2, 109.161307,
sample,2,80,2,4, 115.996803,
sample,2,80,2,8, 109.690841,
sample,2,80,2,16, 290.787433,
sample,2,80,2,32, 409.458940,
sample,4,10,1,2, 108.970330,
sample,4,10,1,4, 111.250572,
sample,4,10,1,8,111.250572,
sample,4,10,1,16, 311.706802,
sample,4,10,1,32, 418.778451,
sample,4,10,2,2, 90.038445,
sample,4,10,2,4, 106.796914,
sample,4,10,2,8, 178.678366,
sample,4,10,2,16, 301.572316,
sample,4,10,2,32, 406.185856,
sample,4,20,1,2, 83.944183,
sample,4,20,1,4, 111.937848,
sample,4,20,1,8, 181.006816,
sample,4,20,1,16, 298.770684,
sample,4,20,1,32, 415.943075,
sample,4,20,2,2, 112.375156,
sample,4,20,2,4, 67.108319,
sample,4,20,2,8, 179.437070,
sample,4,20,2,16, 287.926690,
sample,4,20,2,32, 415.261298,
sample,4,40,1,2, 111.169330,
sample,4,40,1,4, 79.620553,
sample,4,40,1,8, 181.717244,
sample,4,40,1,16, 292.343049,
sample,4,40,1,32, 393.773474,
sample,4,40,2,2, 113.243859,
sample,4,40,2,4, 114.221890,
sample,4,40,2,8, 175.987759,
sample,4,40,2,16, 307.442177,
sample,4,40,2,32, 416.694005,
sample,4,80,1,2, 109.026847,
sample,4,80,1,4, 110.009804,
sample,4,80,1,8, 168.051998,
sample,4,80,1,16, 306.583032,
sample,4,80,1,32, 409.558110,
sample,4,80,2,2, 111.517295,
sample,4,80,2,4, 114.921531,
sample,4,80,2,8, 178.230446,
sample,4,80,2,16, 288.893404,
sample,4,80,2,32, 421.529331,
sample,8,10,1,2, 111.209702,
